Title,URL,Price,Currency Code,Gender,Category,Store Name,Image URL,Saves
"Visual Explanations: Images and Quantities, Evidence and Narrative: Edward R. Tufte: 9780961392123: Amazon.com: Books",http://www.amazon.com/exec/obidos/ASIN/0961392126/heartexplo-20/ref=nosim/,,USD,neutral,media,,https://s3.amazonaws.com/assets.svpply.com/large/2284717.jpg,21
Envisioning Information: Amazon.co.uk: Edward R. Tufte: Books,http://www.amazon.co.uk/Envisioning-Information-Edward-R-Tufte/dp/0961392118/ref=wl_it_dp_o?ie=UTF8&coliid=IRCVLWADXEAMV&colid=3Q127NU4QC23H,,USD,neutral,media,,https://s3.amazonaws.com/assets.svpply.com/large/21192.jpg,50
Cole Haan 'Paul' Winter Chukka Boot | Nordstrom,http://shop.nordstrom.com/s/cole-haan-paul-winter-chukka-boot/3206758?cm_cat=datafeed&cm_ite=cole_haan_'paul'_winter_chukka_boot:379916&cm_pla=shoes:men:boots&cm_ven=bizrate&mr;:referralID=50b66495-bfef-11e1-9e8b-001b2166c62d,,USD,male,shoes,,https://s3.amazonaws.com/assets.svpply.com/large/1675799.jpg,4
Clarks Desert Boot Beeswax Leather,http://www.zappos.com/clarks-desert-boot-beeswax-leather~1,,USD,male,shoes,,https://s3.amazonaws.com/assets.svpply.com/large/582649.jpg,172
Need Supply Co. / Clarks / Desert Boot In Taupe,http://needsupply.com/mens/brands/clarks/desert-boot-in-taupe.html#,,USD,male,shoes,,https://s3.amazonaws.com/assets.svpply.com/large/2031279.jpg,315
"Derby Grey Suede W32095 Walk-Over Mens Buck,Classics",http://www.walkover.com/Product/Derby/Grey Suede,,USD,male,shoes,,https://s3.amazonaws.com/assets.svpply.com/large/225088.jpg,24
Solid tweed Ludlow sportcoat,http://www.jcrew.com/mens_category/sportcoatsandvests/Ludlowsportcoats/PRDOVR~17972/17972.jsp,,USD,male,apparel,,https://s3.amazonaws.com/assets.svpply.com/large/116183.jpg,6
Go Away Doormat,http://www.amazon.com/William-F-Kempf-Cocomats-Doormat/dp/B000I1UYXO/ref=sr_1_1?ie=UTF8&qid=1345755114&sr=8-1&keywords=go+away+doormat,15.00,USD,neutral,home,,https://s3.amazonaws.com/assets.svpply.com/large/1820953.jpg,387
Amazon.com: Cards Against Humanity: Toys & Games,http://www.amazon.com/Cards-Against-Humanity-LLC/dp/B004S8F7QM/ref=sr_1_1?ie=UTF8,50.00,USD,neutral,other,,https://s3.amazonaws.com/assets.svpply.com/large/2453567.jpg,216
Cora Carafe,http://www.cb2.com/cora-carafe/f3989,11.00,USD,neutral,home,,https://s3.amazonaws.com/assets.svpply.com/large/2552728.jpg,660
Lightweight Chambray Shirt,http://www.jcrew.com/mens_feature/NewArrivals/shirts/PRDOVR~73976/73976.jsp,69.00,USD,male,apparel,,https://s3.amazonaws.com/assets.svpply.com/large/2569480.jpg,200
"Bean's Zipper Duffle, Medium: ACCESSORIES at L.L.Bean",http://www.llbean.com/llbeansignature/llb/shop/67771?subrnd=1&from=SR&feat=sigsr&productId=1152114&attrValue_0=Kindling,,USD,male,accessories,,https://s3.amazonaws.com/assets.svpply.com/large/804470.jpg,126
Garrett Leight Brooks Sunglasses | LN-CC,http://www.ln-cc.com/garrett-leight-california-optical/garrett-leight-brooks-sunglasses/invt/glc030011mat/,,USD,neutral,accessories,,https://s3.amazonaws.com/assets.svpply.com/large/1199781.jpg,7
Your Shopping Cart | Kern and Burn: Conversations With Design Entrepreneurs,http://kernandburnbook.myshopify.com/cart,30.00,USD,neutral,media,,https://s3.amazonaws.com/assets.svpply.com/large/2849519.jpg,7
Orée Board Walnut | Orée,http://oreedesign.com/products/oree-board-walnut,150.00,EUR,neutral,tech,,https://s3.amazonaws.com/assets.svpply.com/large/3045479.jpg,4
