Title,URL,Price,Currency Code,Gender,Category,Store Name,Image URL,Saves
Obey The Limited Series Keith Haring Red Heart Tee : Karmaloop.com - Global Concrete Culture,http://www.karmaloop.com/product/The-Limited-Series-Keith-Haring-Red-Heart-Tee/273856?ci_src=17588969&ci_sku=1392414&k_clickid=_kenshoo_clickid_&KPID=1392414&gclid=CNX1_dD707MCFYN_QgodAmwA9Q,,USD,male,apparel,,https://s3.amazonaws.com/assets.svpply.com/large/2099750.jpg,188
Reclaimed Wood Shelf ,http://www.westelm.com/products/reclaimed-wood-shelf-d313/,,USD,neutral,home,,https://s3.amazonaws.com/assets.svpply.com/large/1979830.jpg,647
Whale Chart,http://www.historyshots.com/WhaleChart/index.cfm,,USD,neutral,media,,https://s3.amazonaws.com/assets.svpply.com/large/558588.jpg,101
Black contrast varsity holdall - holdalls - bags / wallets - men,http://www.riverisland.com/men/bags--wallets/holdalls/black-contrast-varsity-holdall-263306,40.00,GBP,male,accessories,,https://s3.amazonaws.com/assets.svpply.com/large/2332536.jpg,183
24 oz. Mason Jar Tumbler - Iced Coffee Mason Jar - Canning Jar Drink Tumbler,http://www.etsy.com/listing/99023518/24-oz-mason-jar-tumbler-iced-coffee?ref=sr_gallery_31&ga_search_query=coffee&ga_page=5&ga_search_type=all&ga_view_type=gallery,11.00,USD,neutral,home,,https://s3.amazonaws.com/assets.svpply.com/large/2240483.jpg,593
"Madison Check & Japanese Indigo Shirting Necktie - Handmade Vintage Ties, Bow Ties, Pocket Squares, and Men's Furnishings - General Knot & Co.",http://www.generalknot.com/collections/neckties/products/madison-check-japanese-indigo-chambray-necktie,,USD,male,apparel,,https://s3.amazonaws.com/assets.svpply.com/large/1922208.jpg,151
UNIONMADE - gitman vintage - Polka Dot Chambray in Navy,http://www.unionmadegoods.com/gitman_vintage_Polka_Dot_Chambray_in_Navy_4413.html,,USD,male,apparel,,https://s3.amazonaws.com/assets.svpply.com/large/1430100.jpg,236
 gitman vintage - Flannel Button Down in Blue & Green Plaid,http://unionmadegoods.com/gitman_vintage_Flannel_Button_Down_in_Blue_&_Green_Plaid_3260.html,,USD,male,apparel,,https://s3.amazonaws.com/assets.svpply.com/large/965255.jpg,38
Gitman Brothers Vintage Green Japanese Chambray Oxford 03 ,http://www.contextclothing.com/item.php?id=2354,,USD,male,apparel,,https://s3.amazonaws.com/assets.svpply.com/large/671606.jpg,33
 gitman vintage - Japanese Cotton Yarn Dyed Oxford in Green Plaid,http://unionmadegoods.com/gitman_vintage_Japanese_Cotton_Yarn_Dyed_Oxford_in_Green_Plaid_2892.html,,USD,male,apparel,,https://s3.amazonaws.com/assets.svpply.com/large/862393.jpg,412
Salvaged Wood Shelf ,http://www.westelm.com/products/salvaged-wood-shelf-w637/?pkey=call-new,,USD,neutral,home,,https://s3.amazonaws.com/assets.svpply.com/large/1403542.jpg,971
NN.07 Chivas Dot-Print Cotton-Twill Shirt | MR PORTER,http://www.mrporter.com/product/318167,,USD,male,apparel,,https://s3.amazonaws.com/assets.svpply.com/large/1832971.jpg,260
